,Unnamed: 0,Account_ID,Name,Twitter_username,Political_party
135,229,1330457336,Bill Clinton,BillClinton,Democratic Party
137,231,1080509366,Bill Foster,RepBillFoster,Democratic Party
139,234,26103389,Bill Haslam,billhaslam,Republican Party
140,235,233949261,Bill Huizenga,RepHuizenga,Republican Party
141,236,211530910,Bill Johnson,RepBillJohnson,Republican Party
142,237,232992031,Bill Keating,USRepKeating,Democratic Party
143,238,1084924525232513025,Bill Lee,GovBillLee,Republican Party
144,240,823248562851037185,Bill Lee,GovBillLee,Republican Party
145,242,20597460,Bill Nelson,senbillnelson,Democratic Party
146,244,515736574,Bill Pascrell,BillPascrell,Democratic Party
147,246,74508260,Bill Pascrell,BillPascrell,Democratic Party
148,248,25086658,Bill Posey,CongBillPosey,Republican Party
154,256,476193064,Bill de Blasio,BilldeBlasio,Democratic Party
155,257,1444015610,Billy Long,USRepLong,Republican Party
156,258,1849261916,Blaine Luetkemeyer,RepBlaine,Republican Party
158,263,94154021,Bob Casey Jr.,SenBobCasey,Democratic Party
159,265,171598736,Bob Casey Jr.,SenBobCasey,Democratic Party
161,269,73303753,Bob Corker,senbobcorker,Republican Party
162,270,612777130,Bob Cortes,CortesBob,Republican Party
166,274,234822928,Bob Gibbs,RepBobGibbs,Republican Party
170,278,949089035556982786,Bob Hugin,BobHugin,Republican Party
171,279,15394954,Bob Latta,BobLatta,Republican Party
173,282,17078632,Bobby Jindal,bobbyjindal,Republican Party
174,283,305216911,Bobby Rush,RepBobbyRush,Democratic Party
175,284,161791703,Bobby Scott,BobbyScott,Democratic Party
178,292,1071840474,Brad Schneider,repschneider,Democratic Party
179,293,30216513,Brad Sherman,BradSherman,Democratic Party
180,294,518644221,Brad Wenstrup,RepBradWenstrup,Republican Party
182,299,120184055,Brandon Dillon,BrandonDillon75,Democratic Party
183,300,175953481,Brandon Presley,BrandonPresley,Democratic Party
184,306,2863006655,Brenda Lawrence,RepLawrence,Democratic Party
186,308,231108733,Brendan F. Boyle,RepBrendanBoyle,Democratic Party
187,309,114607567,Brett Guthrie,brettguthrie,Republican Party
188,310,2929491549,Brian Babin,RepBrianBabin,Republican Party
190,312,743292565,Brian E. Frosh,BrianFrosh,Democratic Party
191,314,29122382,Brian Evans,croon1,Democratic Party
192,315,816303263586914304,Brian Fitzpatrick,repbrianfitz,Republican Party
193,316,33576489,Brian Higgins,RepBrianHiggins,Democratic Party
194,317,162126945,Brian Kelsey,BrianKelsey,Republican Party
195,318,47437206,Brian Kemp,BrianKempGA,Republican Party
196,320,814103950404239360,Brian Mast,repbrianmast,Republican Party
197,321,3170031728,Brian Mast,repbrianmast,Republican Party
198,324,471454646,Brian P. Kavanagh,briankavanaghny,Democratic Party
199,325,3062158491,Brian P. Stack,mayorstack,Democratic Party
202,330,47747074,Brian Schatz,SenBrianSchatz,Democratic Party
203,332,1262099252,Brian Schatz,SenBrianSchatz,Democratic Party
204,334,369613362,Brian Sims,BrianSimsPA,Democratic Party
205,335,56490073,Brianne Nadeau,brianneknadeau,Democratic Party
207,339,240785083,Bruce Kraus,brucekraus,Democratic Party
211,344,2852998461,Bruce Westerman,RepWesterman,Republican Party
212,346,1075205691621720064,Bryan Steil,RepBryanSteil,Republican Party
213,347,124560631,Bryce Reeves,ReevesVA,Republican Party
214,348,2973870195,Buddy Carter,RepBuddyCarter,Republican Party
216,351,170011008,Byron Brown,MayorByronBrown,Democratic Party
221,356,383566622,Carl Heastie,CarlHeastie,Democratic Party
224,361,32313637,Carlos Guillermo Smith,CarlosGSmith,Democratic Party
225,362,907355254957715457,Carlos Gutierrez,carlosgutierrez,Republican Party
226,363,166401351,Carlos Lopez-Cantera,lopezcantera,Republican Party
229,367,1081318716573470720,Carol Miller,RepCarolMiller,Republican Party
233,374,2394599778,Carolyn Goodman,mayoroflasvegas,Democratic Party
234,375,258900199,Carolyn Maloney,RepMaloney,Democratic Party
235,376,339684960,Carrie Ruud,CarrieRuud,Republican Party
237,380,811313565760163844,Catherine Cortez Masto,CatherineForNV,Democratic Party
238,382,3145735852,Catherine Cortez Masto,CatherineForNV,Democratic Party
240,387,17976923,Cathy McMorris Rodgers,cathymcmorris,Republican Party
241,388,17011177,Cecile Richards,CecileRichards,Democratic Party
244,391,429227921,Cenk Uygur,cenkuygur,Republican Party
246,393,48086014,Chaka Fattah,ChakaFattah,Democratic Party
249,397,54990588,Charlie Baker,CharlieBakerMA,Republican Party
251,400,242376736,Charlie Dent,RepCharlieDent,Republican Party
252,401,356903515,Charlie Geren,charliegeren,Republican Party
253,402,29450425,Charniele Herring,C_Herring,Democratic Party
254,403,14984637,Chellie Pingree,ChelliePingree,Democratic Party
255,404,1092979962,Cheri Bustos,RepCheri,Democratic Party
256,405,1082790600292925440,Chip Roy,RepChipRoy,Republican Party
260,411,15324851,Chris Coons,ChrisCoons,Democratic Party
261,413,16317406,Chris Dodd,SenChrisDodd,Democratic Party
264,416,304158388,Chris Head,DelChrisHead,Republican Party
265,419,3407370712,Chris Kapenga,SenatorKapenga,Republican Party
268,423,150078976,Chris Murphy,ChrisMurphyCT,Democratic Party
269,424,1067748650485497862,Chris Pappas,ChrisPappasNH,Democratic Party
270,426,574799823,Chris Pappas,ChrisPappasNH,Democratic Party
272,431,1072008757,Chris Stewart,RepChrisStewart,Republican Party
274,433,95943434,Chris Sununu,ChrisSununu,Republican Party
275,434,524733591,Chris Taylor,ChrisTaylorWI,Democratic Party
276,435,18137749,Chris Van Hollen,VanHollenForMD,Democratic Party
278,439,116282843,Chris Widener,ChrisWidenerOH,Republican Party
279,440,1052896620797460481,Chrissy Houlahan,RepHoulahan,Democratic Party
280,442,431049342,Christina Hagan,RepHagan,Republican Party
282,444,2270660737,Christine Quinn,chriscquinn,Democratic Party
284,449,789977198,Christopher Ruddy,chrisruddynmx,Republican Party
285,450,4699063596,Christy Smith,ChristyforCA25,Democratic Party
287,462,36480404,Chuck Baldwin,drchuckbaldwin,Republican Party
288,464,235190657,Chuck Fleischmann,RepChuck,Republican Party
289,465,10615232,Chuck Grassley,ChuckGrassley,Republican Party
290,466,1239543974,Chuck McGrady,ChuckMcGrady,Republican Party
291,467,17494010,Chuck Schumer,SenSchumer,Democratic Party
292,468,1080865917377097728,Cindy Axne,RepCindyAxne,Democratic Party
293,470,867495243482058755,Cindy Axne,RepCindyAxne,Democratic Party
294,472,262192574,Cindy Hyde-Smith,SenHydeSmith,Democratic Party
295,476,983348251972816896,Cindy Hyde-Smith,SenHydeSmith,Democratic Party
296,480,61263431,Cindy McCain,cindymccain,Republican Party
297,481,16160352,Claire McCaskill,clairecmc,Democratic Party
298,482,756285384,Claudia Tenney,claudiatenney,Republican Party
299,484,843636970538618880,Clay Higgins,RepClayHiggins,Republican Party
300,485,1078355119920562176,Colin Allred,RepColinAllred,Democratic Party
301,487,346964561,Colin Allred,RepColinAllred,Democratic Party
306,495,388555493,Condoleezza Rice,CondoleezzaRice,Republican Party
308,497,855240223432769538,Conor Lamb,ConorLambPA,Democratic Party
312,504,15808765,Cory Booker,CoryBooker,Democratic Party
313,505,20879626,Cory Gardner,corygardner,Republican Party
315,513,20513337,Craig Fitzhugh,CraigFitzhugh,Democratic Party
319,517,123314680,"Curtis M. Loftis, Jr.",treasurerloftis,Republican Party
320,519,22831059,Cynthia Lummis,CynthiaLummis,Republican Party
321,520,18572546,Cynthia McKinney,cynthiamckinney,Democratic Party
323,523,142839300,Dan Bilzerian,danbilzerian,Republican Party
324,524,1912799826,Dan Bishop,jdanbishop,Republican Party
327,528,1045110018,Dan Kildee,RepDanKildee,Democratic Party
330,532,2930635215,Dan Newhouse,RepNewhouse,Republican Party
331,533,17582355,Dan Patrick,DanPatrick,Republican Party
332,536,27345790,Dana Beyer,DanaBeyerMD,Democratic Party
333,537,27311044,Dana Perino,DanaPerino,Republican Party
336,541,403581958,Dane Eagle,DaneEagle,Republican Party
337,542,169586297,Danica Roem,pwcdanica,Democratic Party
338,544,7912512,Daniel Biss,danielbiss,Democratic Party
340,546,2891210047,Daniel S. Sullivan,SenDanSullivan,Republican Party
341,548,309178614,Daniel Squadron,DanielSquadron,Democratic Party
342,549,2491513814,"Daniel T. Blue, Jr.",danbluenc,Democratic Party
343,550,281540744,Daniel Webster,RepWebster,Republican Party
345,552,789244177,Danny K. Davis,RepDannyDavis,Democratic Party
346,553,64465025,Danny Tarkanian,DannyTarkanian,Republican Party
347,554,3686482216,Darin LaHood,RepLaHood,Republican Party
348,555,22509548,Darrell Issa,DarrellIssa,Republican Party
349,556,3526565908,Darrell Steinberg,mayor_steinberg,Democratic Party
350,557,114338937,Darren Jackson,JacksonforNC,Democratic Party
351,558,818713465653051392,Darren Soto,RepDarrenSoto,Democratic Party
353,561,1222179409,Dave LaRock,LaRock4Delegate,Republican Party
355,563,244655353,David Axelrod,davidaxelrod,Democratic Party
356,565,32125811,David Baria,dbaria,Democratic Party
357,566,849183802777882624,David Beasley,WFPChief,Republican Party
358,568,149586061,David Bulova,DavidBulova,Democratic Party
360,570,10378382,David Chiu,davidchiu,Democratic Party
361,572,462143773,David Cicilline,RepCicilline,Democratic Party
364,580,19791281,David Holt,davidfholt,Republican Party
366,583,2178681566,David Jolly,DavidJollyFL,Republican Party
367,584,976969338,David Joyce,RepDaveJoyce,Republican Party
368,585,816012124505931780,David Kustoff,repdavidkustoff,Republican Party
370,588,583486767,David Loebsack,daveloebsack,Democratic Party
371,590,123984879,David M. McIntosh,DavidMMcintosh,Republican Party
372,591,240427862,David McKinley,RepMcKinley,Republican Party
375,598,155669457,David Price,RepDavidEPrice,Democratic Party
377,600,127941167,David Rouzer,DavidRouzer,Republican Party
378,601,25785303,David Schapira,dschapira,Democratic Party
379,602,229197216,David Schweikert,RepDavid,Republican Party
380,603,168673083,David Scott,repdavidscott,Democratic Party
382,605,43117323,David Toscano,deltoscano,Democratic Party
384,607,1128514404,David Valadao,RepDavidValadao,Republican Party
389,615,62383743,Dawn Zimmer,dawnzimmernj,Democratic Party
390,616,20540348,Daylin Leach,daylinleach,Democratic Party
392,618,39894447,Dean Phillips,deanbphillips,Democratic Party
